product_name,adet,,,,
330 TEAK KAPI,1,,,MDF KNT 3000 LAKE BEYAZ 70 LIK PETEK DOLGU ODA KILIT,1
4 BUZLU+16+4 DÜZ,1,,,ZM 16 CM KALDIRAÇLI LÜKS GÖMME SÜRGÜ SATEN (4055 0160 009),1
4 KONFOR+16+4 DÜZ,1,,,MDF KNT 3000 LAKE BEYAZ 75 LIK PETEK DOLGU ODA KILIT,1
4.8*50 YHB MATKAPUÇLU V?DA,1,,,PS08000-00/8553 PROF?L? EFFECT ALTAY 8 CM FINISH,1
4+16+4 Ç?FT CAM,1,,,MDF KNT 3000 LAKE BEYAZ 80 LIK PETEK DOLGU ODA K?L?T,1
"4010 5 MM KILITLI 0,55 YÜZEY 29,62X60,12 EBAT",1,,,SAMET SMART Ç?FT AÇILIM 45 CM SOFT,1
4013 KASA ARA PARÇA ALÜM?NYUM PROF?L 7021 5.10,1,,,MDF KNT 3000 LAKE BEYAZ 85 LIK PETEK DOLGU ODA KILIT,1
4013 KASA ARA PARÇA ALÜM?NYUM PROF?L B69 5.10,1,,,SOFUOGLU A008G KOL L?NDA ALM M. ROZETL? WC N?KEL SATEN (6003 0302 010),1
"4013 KASA ARA PARÇA ALÜM?NYUM RAL 9005 GOFRATO 5,10",1,,,MDF KNT 3000 LAKE BEYAZ 90 LIK PETEK DOLGU ODA KILIT,1
40X40 KARE SAB?T MAFSAL BRONZ(LAMALI),1,,,SUNNY SER?S? ANTRAS?T GR? SOL ÇLK KAPI,1
40X40 KARE YER FLAN?I BRONZ,1,,,MDF KNT 3000 M.MARRON 80 LIK PETEK ODA KILIT,1
48 JV 209 PLAKALI ARAÇ,1,,,TEK YAN CAM V?LLA ALTINME?E SOL TUANA 88X50X198,1
5 L?K D. OKKA ALÜM?NYUM SATEN,1,,,MDF KNT 3000 MAT BAMBU 65 LIK PETEK DOLGU ODA KILIT,1
5 MM KAPRON*40*1 M2,1,,,TUANA KLAS?K F (MERKÜR) BEYAZ SA? (KLS 106),1
6*210 MATKAP UCU MILWAUKEE SDS PLUS,1,,,MDF KNT 3000 MAT BAMBU 70 LIK PETEK DOLGU ODA KILIT,1
70 L?K TEAK BA?LIK,1,,,TUANA S?LVER UV AK?K FUGALI BEYAZ SA?,1
7CM KLAS ALÜM?NYUM SÜRGÜ,1,,,MDF KNT 3000 MAT BAMBU 75 LIK PETEK DOLGU ODA KILIT,1
8 MM DÜZ CAM TEMPERL?,1,,,YAVRU KAPI BINI ÇITASI D.CEVIZ,1
