id,product_name,montaj_sabiti,created_date,active,marka_id,title,unit,birim_fiyat,urun_grubu_id,product_category_id,product_type
52,3 LÜK YAPRAK MENTE?E,20,17/04/2021 18:40,1,5,3 LÜK YAPRAK MENTE?E,AD,0,1,1,TCR
53,3 MM KAPRON*50,20,17/04/2021 18:40,1,5,3 MM KAPRON*50,M2,0,1,1,TCR
54,3*16 YILDIZ V?DA,20,17/04/2021 18:40,1,5,3*16 YILDIZ V?DA,PK,0,1,1,TCR
55,"3,5*18 YILDIZ V?DA (1000 L?)",20,17/04/2021 18:40,1,5,"3,5*18 YILDIZ V?DA (1000 L?)",PK,0,1,1,TCR
56,3.5 HSS MATKAP UÇ,20,17/04/2021 18:40,1,5,3.5 HSS MATKAP UÇ,AD,0,1,1,TCR
57,3.9*19 YHB MATKAPUÇLU V?DA,20,17/04/2021 18:40,1,5,3.9*19 YHB MATKAPUÇLU V?DA,AD,0,1,1,TCR
58,3.9*32 YHB MATKAPUÇLU V?DA,20,17/04/2021 18:40,1,5,3.9*32 YHB MATKAPUÇLU V?DA,AD,0,1,1,TCR
59,3.9X19 YHB MATKAP UCLU V?DA,20,17/04/2021 18:40,1,5,3.9X19 YHB MATKAP UCLU V?DA,AD,0,1,1,TCR
60,3.9X32 YHB SEYREK DISLI V?DA,20,17/04/2021 18:40,1,5,3.9X32 YHB SEYREK DISLI V?DA,PK,0,1,1,TCR
61,30 CM TELESKOB?K STOPLU,20,17/04/2021 18:40,1,5,30 CM TELESKOB?K STOPLU,AD,0,1,1,TCR
62,330 MODEL 65 LIK KANAT AKÇA,20,17/04/2021 18:40,1,5,330 MODEL 65 LIK KANAT AKÇA,AD,0,1,1,TCR
63,330 MODEL 65 L?K KANAT CEV?Z,20,17/04/2021 18:40,1,5,330 MODEL 65 L?K KANAT CEV?Z,AD,0,1,1,TCR
64,330 MODEL 75 L?K KANAT AKÇA,20,17/04/2021 18:40,1,5,330 MODEL 75 L?K KANAT AKÇA,AD,0,1,1,TCR
65,330 MODEL 90 LIK KANAT CEV?Z,20,17/04/2021 18:40,1,5,330 MODEL 90 LIK KANAT CEV?Z,AD,0,1,1,TCR
66,330 TEAK KAPI,20,17/04/2021 18:40,1,5,330 TEAK KAPI,AD,0,1,1,TCR
67,4 BUZLU+16+4 DÜZ,20,17/04/2021 18:40,1,5,4 BUZLU+16+4 DÜZ,M2,0,1,1,TCR
68,4 KONFOR+16+4 DÜZ,20,17/04/2021 18:40,1,5,4 KONFOR+16+4 DÜZ,M2,0,1,1,TCR
69,4.8*50 YHB MATKAPUÇLU V?DA,20,17/04/2021 18:40,1,5,4.8*50 YHB MATKAPUÇLU V?DA,AD,0,1,1,TCR
70,4+16+4 Ç?FT CAM,20,17/04/2021 18:40,1,5,4+16+4 Ç?FT CAM,M2,0,1,1,TCR
71,"4010 5 MM KILITLI 0,55 YÜZEY 29,62X60,12 EBAT",20,17/04/2021 18:40,1,5,"4010 5 MM KILITLI 0,55 YÜZEY 29,62X60,12 EBAT",M2,0,1,1,TCR
72,4013 KASA ARA PARÇA ALÜM?NYUM PROF?L 7021 5.10,20,17/04/2021 18:40,1,5,4013 KASA ARA PARÇA ALÜM?NYUM PROF?L 7021 5.10,AD,0,1,1,TCR
